DataZone,SubHSCP,SubHSCPName,CA,HSCP,HB,Country
S01006931,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006932,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006933,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006934,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006935,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006936,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006937,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006938,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006939,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006940,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006941,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006942,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006943,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006944,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006945,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006946,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006947,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006948,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006949,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006950,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006951,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006952,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006953,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006954,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006955,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006956,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006957,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006958,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006959,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006960,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006961,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006962,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006963,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006964,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006965,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006966,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006967,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006968,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006969,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006970,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006971,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006972,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006973,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006974,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006975,PN0000005,Buchan,S12000034,S37000002,S08000020,S92000003
S01006976,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006977,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006978,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006979,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006980,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006981,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006982,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006983,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006984,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006985,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006986,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006987,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006988,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006989,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006990,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006991,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006992,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006993,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006994,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006995,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006996,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01006997,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006998,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006999,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01007000,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01007001,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01007002,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01007003,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01007004,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01007005,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01007006,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01007007,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01007008,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01007009,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01007010,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01007011,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01007012,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01007013,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01007014,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01007015,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01007016,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01007017,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01007018,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01007019,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01007020,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01007021,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01007022,PN0000006,Formartine,S12000034,S37000002,S08000020,S92000003
S01007023,PN0000004,Banff & Buchan,S12000034,S37000002,S08000020,S92000003
S01007024,PN0000004,Banff & Buchan,S12000034,S37000002,S08000020,S92000003
S01007025,PN0000004,Banff & Buchan,S12000034,S37000002,S08000020,S92000003
S01007026,PN0000004,Banff & Buchan,S12000034,S37000002,S08000020,S92000003
S01007027,PN0000004,Banff & Buchan,S12000034,S37000002,S08000020,S92000003
S01007028,PN0000004,Banff & Buchan,S12000034,S37000002,S08000020,S92000003
S01007029,PN0000004,Banff & Buchan,S12000034,S37000002,S08000020,S92000003
S01007030,PN0000004,Banff & Buchan,S12000034,S37000002,S08000020,S92000003
S01007031,PN0000004,Banff & Buchan,S12000034,S37000002,S08000020,S92000003
S01007032,PN0000004,Banff & Buchan,S12000034,S37000002,S08000020,S92000003
